CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Gatekeeper,Fodlan,2461.93,,,,,72267.0,,,,
Edelgard,Fodlan,2381.72,,,,74617.0,,,,,
Dimitri,Fodlan,2371.13,,,,69448.0,,,,,
Claude,Fodlan,2345.7,,,,59751.0,,,,,
Eikþyrnir (Eikthyrnir),Heroes,2316.73,,,,,,,,,15138.0
Lysithea,Fodlan,2293.32,,,,42462.0,,,,,
Gullveig,Heroes,2272.63,,,,,,,16941.0,,
Byleth (F),Fodlan,2260.71,,,,35255.0,25964.0,20855.0,,,
Baldr,Heroes,2253.52,,,,,,,,,11158.0
Bernadetta,Fodlan,2225.84,,,,37400.0,12281.0,19335.0,14252.0,19600.0,
Marth,Archanea,2222.36,24547.0,37192.0,33182.0,44107.0,46699.0,,,,
Ivy,Elyos,2220.15,,,,,,,,9082.0,8748.0
Lyn,Elibe,2208.01,49917.0,,,,,,,,
Fomortiis,Magvel,2207.69,,,,,,,,,9066.0
Ike,Tellius,2205.01,51555.0,,,,,,,,
Yunaka,Elyos,2201.92,,,,,,,,10035.0,7048.0
Byleth (M),Fodlan,2180.78,,,,10410.0,12528.0,10102.0,12683.0,10663.0,14345.0
Marianne,Fodlan,2180.39,,,,14105.0,33555.0,,,,
Felix,Fodlan,2177.3,,,,12465.0,10786.0,19117.0,16365.0,11612.0,
Lucina,Ylisse,2173.95,48295.0,,,,,,,,
Alear (F),Elyos,2172.5,,,,,,,,8316.0,6480.0
Hector,Elibe,2142.63,27372.0,40946.0,,,,,,,
Chrom,Ylisse,2141.15,23803.0,13638.0,19656.0,15595.0,35810.0,42134.0,,,
Camilla,Fates,2113.17,25766.0,28166.0,46741.0,,,,,,
Roy,Elibe,2109.76,28982.0,,,,,,,,
Eirika,Magvel,2104.27,16423.0,27503.0,22771.0,26040.0,31875.0,,,,
Veronica,Heroes,2103.25,,29206.0,,,,,,,
Diamant,Elyos,2102.89,,,,,,,,6356.0,4117.0
Azura,Fates,2100.89,14198.0,20430.0,14798.0,6264.0,4870.0,10260.0,7383.0,8466.0,9260.0
Ephraim,Magvel,2081.78,14908.0,31027.0,,,,,,,
Hilda (FE16),Fodlan,2079.23,,,,11702.0,6981.0,13205.0,7026.0,4061.0,4560.0
Corrin (F),Fates,2076.73,19599.0,13833.0,17679.0,9079.0,8600.0,14673.0,14369.0,,
Robin (M),Ylisse,2057.04,14149.0,10912.0,16316.0,9898.0,8176.0,11584.0,18401.0,,
Alear (M),Elyos,2051.06,,,,,,,,4421.0,2569.0
Alcryst,Elyos,2047.47,,,,,,,,4728.0,2228.0
Dorothea,Fodlan,2044.59,,,,15212.0,4694.0,7706.0,4529.0,2929.0,3213.0
Yuri,Fodlan,2041.63,,,,,9852.0,7869.0,5320.0,3648.0,3184.0
Sylvain,Fodlan,2041.55,,,,9132.0,4970.0,4764.0,4608.0,3100.0,5611.0
Veyle,Elyos,2038.14,,,,,,,,4233.0,2567.0
Micaiah,Tellius,2037.61,13491.0,15493.0,54343.0,,,,,,
Höðr (Hodr),Heroes,2035.75,,,,,,,,,2605.0
Robin (F),Ylisse,2033.16,10387.0,5481.0,34626.0,7352.0,5466.0,8737.0,9075.0,12319.0,
Soren,Tellius,2023.73,9718.0,6298.0,9919.0,6873.0,5829.0,17416.0,18051.0,,
Shez (M),Fodlan,2017.07,,,,,,,3956.0,3839.0,2237.0
Tharja,Ylisse,2015.76,29540.0,12459.0,11384.0,7674.0,4764.0,4845.0,5078.0,5335.0,4172.0
Freyja,Heroes,2006.74,,,,,2332.0,4180.0,4389.0,5075.0,3458.0
Sigurd,Jugdral,2003.57,5282.0,4736.0,8975.0,6198.0,3595.0,5121.0,7142.0,8058.0,10597.0
Black Knight,Tellius,2002.75,10195.0,3895.0,7461.0,5247.0,3026.0,3530.0,5340.0,5084.0,5221.0
Shez (F),Fodlan,1992.56,,,,,,,3990.0,2964.0,2038.0
