CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES
Dimitri,Fodlan,663409.76,,,,69448.0,,,,,
Edelgard,Fodlan,648400.62,,,,74617.0,,,,,
Gatekeeper,Fodlan,590386.38,,,,,72267.0,,,,
Claude,Fodlan,523087.84,,,,59751.0,,,,,
Lysithea,Fodlan,327096.81,,,,42462.0,,,,,
Lucina,Ylisse,284392.71,48295.0,,,,,,,,
Ike,Tellius,274029.2,51555.0,,,,,,,,
Lyn,Elibe,260517.6,49917.0,,,,,,,,
Eikþyrnir (Eikthyrnir),Heroes,251849.71,,,,,,,,,15138.0
Marth,Archanea,213452.72,24547.0,37192.0,33182.0,44107.0,46699.0,,,,
Baldr,Heroes,123092.85,,,,,,,,,11158.0
Gullveig,Heroes,94367.03,,,,,,,16941.0,,
Veronica,Heroes,34272.95,,29206.0,,,,,,,
Byleth (F),Fodlan,32874.95,,,,35255.0,25964.0,20855.0,,,
Fomortiis,Magvel,32148.95,,,,,,,,,9066.0
Hector,Elibe,30849.92,27372.0,40946.0,,,,,,,
Roy,Elibe,19334.29,28982.0,,,,,,,,
Bernadetta,Fodlan,17039.19,,,,37400.0,12281.0,19335.0,14252.0,19600.0,
Yuri,Fodlan,2056.56,,,,,9852.0,7869.0,5320.0,3648.0,3184.0
Robin (M),Ylisse,2049.25,14149.0,10912.0,16316.0,9898.0,8176.0,11584.0,18401.0,,
Ephraim,Magvel,2046.29,14908.0,31027.0,,,,,,,
Alear (M),Elyos,2041.02,,,,,,,,4421.0,2569.0
Robin (F),Ylisse,2040.07,10387.0,5481.0,34626.0,7352.0,5466.0,8737.0,9075.0,12319.0,
Micaiah,Tellius,2037.55,13491.0,15493.0,54343.0,,,,,,
Tharja,Ylisse,2032.08,29540.0,12459.0,11384.0,7674.0,4764.0,4845.0,5078.0,5335.0,4172.0
Dorothea,Fodlan,2030.11,,,,15212.0,4694.0,7706.0,4529.0,2929.0,3213.0
Höðr (Hodr),Heroes,2017.38,,,,,,,,,2605.0
Freyja,Heroes,2009.53,,,,,2332.0,4180.0,4389.0,5075.0,3458.0
Shez (M),Fodlan,2009.08,,,,,,,3956.0,3839.0,2237.0
Soren,Tellius,2002.73,9718.0,6298.0,9919.0,6873.0,5829.0,17416.0,18051.0,,
Shez (F),Fodlan,1998.08,,,,,,,3990.0,2964.0,2038.0
Sigurd,Jugdral,1992.85,5282.0,4736.0,8975.0,6198.0,3595.0,5121.0,7142.0,8058.0,10597.0
Eliwood,Elibe,1991.67,8709.0,7749.0,45410.0,,,,,,
Corrin (F),Fates,1991.33,19599.0,13833.0,17679.0,9079.0,8600.0,14673.0,14369.0,,
Sylvain,Fodlan,1988.42,,,,9132.0,4970.0,4764.0,4608.0,3100.0,5611.0
Veyle,Elyos,1985.35,,,,,,,,4233.0,2567.0
Ashe,Fodlan,1980.41,,,,9288.0,6632.0,4181.0,3575.0,2003.0,2154.0
Alcryst,Elyos,1979.44,,,,,,,,4728.0,2228.0
Alfonse,Heroes,1964.39,,5542.0,7363.0,4859.0,3985.0,4392.0,6832.0,13286.0,
Black Knight,Tellius,1964.3,10195.0,3895.0,7461.0,5247.0,3026.0,3530.0,5340.0,5084.0,5221.0
Tsubasa/Caeda,TMS #FE,1950.45,,,,4410.0,2319.0,2566.0,4709.0,4092.0,7155.0
Nino,Elibe,1946.87,7825.0,15532.0,10682.0,5144.0,3351.0,3288.0,2881.0,1769.0,1885.0
Tiki (FE13),Ylisse,1939.86,9794.0,5001.0,7793.0,3137.0,3551.0,39705.0,,,
Takumi,Fates,1937.16,12662.0,10407.0,9118.0,4013.0,3148.0,3133.0,2743.0,2491.0,2404.0
Sharena,Heroes,1935.64,,5037.0,5124.0,1780.0,1097.0,1550.0,6757.0,6782.0,11381.0
Lilina,Elibe,1935.4,5730.0,7993.0,8413.0,4859.0,2759.0,3808.0,3174.0,2519.0,1869.0
Itsuki/Chrom,TMS #FE,1927.9,,,,4096.0,4032.0,3208.0,4028.0,3696.0,3426.0
Mia,Tellius,1922.38,13354.0,9334.0,8395.0,5031.0,3114.0,3117.0,3038.0,2637.0,2291.0
Leo,Fates,1922.12,12175.0,7162.0,9836.0,3193.0,2018.0,2291.0,2967.0,2684.0,2064.0
Goldmary,Elyos,1920.61,,,,,,,,2813.0,950.0
Rosado,Elyos,1911.0,,,,,,,,3235.0,828.0
Alfred,Elyos,1903.9,,,,,,,,2171.0,1017.0
Leif,Jugdral,1902.44,2489.0,10529.0,4155.0,1828.0,1594.0,1710.0,4924.0,5855.0,3783.0
Lapis,Elyos,1901.62,,,,,,,,3423.0,1913.0
Corrin (M),Fates,1898.25,7691.0,2954.0,3825.0,2294.0,2027.0,2681.0,3528.0,3797.0,3012.0
Ingrid,Fodlan,1896.67,,,,5543.0,3164.0,3012.0,2402.0,1251.0,1230.0
Seliph,Jugdral,1889.4,2695.0,2137.0,7105.0,15593.0,6433.0,26301.0,,,
Céline (Celine),Elyos,1886.97,,,,,,,,1722.0,1046.0
Nel,Elyos,1880.97,,,,,,,,1961.0,853.0
Elincia,Tellius,1880.53,3360.0,3442.0,4391.0,2132.0,2330.0,3393.0,5405.0,3533.0,2591.0
Caeda,Archanea,1877.82,7243.0,3999.0,5009.0,2400.0,1535.0,2761.0,2617.0,1542.0,1760.0
Touma/Cain,TMS #FE,1876.61,,,,1760.0,1286.0,2219.0,2679.0,3364.0,2421.0
Petra,Fodlan,1873.74,,,,4374.0,2328.0,2514.0,2338.0,1347.0,809.0
Timerra,Elyos,1865.97,,,,,,,,1795.0,921.0
Rhea,Fodlan,1862.25,,,,5627.0,4295.0,2092.0,1298.0,936.0,661.0
Hubert,Fodlan,1856.62,,,,2453.0,2106.0,1887.0,1725.0,1300.0,1185.0
Celica,Valentia,1855.96,2374.0,36302.0,,,,,,,
Annette,Fodlan,1854.83,,,,5165.0,2299.0,2470.0,1487.0,865.0,998.0
Sothis,Fodlan,1854.37,,,,6967.0,3097.0,2121.0,1400.0,913.0,731.0
Panette,Elyos,1849.08,,,,,,,,2614.0,550.0
Níðhöggr (Nidhoggr),Heroes,1847.71,,,,,,,,1222.0,955.0
Nephenee,Tellius,1846.19,13473.0,5994.0,7995.0,2913.0,1855.0,2137.0,1567.0,1548.0,1373.0
Fjorm,Heroes,1844.28,,5153.0,5449.0,2654.0,1633.0,2215.0,1472.0,1478.0,1274.0
Tiki (FE01/11),Archanea,1840.09,6729.0,5309.0,6079.0,3031.0,1771.0,2216.0,932.0,752.0,654.0
Pandreo,Elyos,1839.84,,,,,,,,1359.0,537.0
Hapi,Fodlan,1837.24,,,,,3034.0,1490.0,1426.0,852.0,673.0
Alm,Valentia,1835.56,1907.0,18716.0,62216.0,,,,,,
Ninian,Elibe,1833.69,2799.0,6442.0,4223.0,2796.0,1498.0,1888.0,1155.0,1218.0,1020.0
Hortensia,Elyos,1830.07,,,,,,,,1594.0,522.0
Citrinne,Elyos,1829.21,,,,,,,,1134.0,664.0
Linhardt,Fodlan,1826.08,,,,4591.0,3262.0,1493.0,1266.0,1064.0,775.0
Tiki (TMS),TMS #FE,1825.92,,,,4161.0,1591.0,1952.0,1024.0,906.0,685.0
Loki,Heroes,1821.08,,16811.0,14745.0,4428.0,1613.0,1393.0,686.0,735.0,573.0
Plumeria,Heroes,1819.81,,,,20800.0,3875.0,1650.0,865.0,654.0,455.0
Ferdinand,Fodlan,1817.7,,,,4584.0,1671.0,1497.0,2916.0,984.0,661.0
Etie,Elyos,1817.69,,,,,,,,813.0,895.0
Lyon,Magvel,1815.13,2434.0,2080.0,3128.0,1945.0,1303.0,2544.0,3580.0,3475.0,2298.0
Xander,Fates,1812.84,7511.0,5669.0,4122.0,1947.0,1345.0,1979.0,912.0,891.0,893.0
Ayra,Jugdral,1812.21,4489.0,4800.0,5011.0,2166.0,1400.0,1830.0,1514.0,902.0,712.0
Anna (FE13),Ylisse,1810.85,8431.0,3446.0,38916.0,12137.0,2399.0,4764.0,4952.0,1014.0,706.0
Shamir,Fodlan,1810.35,,,,4452.0,1429.0,1365.0,932.0,695.0,522.0
Bruno,Heroes,1807.74,,3403.0,13483.0,2831.0,1206.0,1583.0,1130.0,713.0,542.0
Lute,Magvel,1806.82,9176.0,2998.0,2369.0,3047.0,3765.0,995.0,697.0,567.0,585.0
Cordelia,Ylisse,1798.24,14362.0,9547.0,8403.0,2834.0,1902.0,1995.0,1288.0,1230.0,1077.0
Nowi,Ylisse,1797.38,10571.0,7705.0,6301.0,2596.0,1531.0,1644.0,1094.0,843.0,873.0
Catria,Archanea,1797.35,2736.0,3596.0,4844.0,2350.0,1569.0,1497.0,987.0,979.0,840.0
Nerþuz (Nerthuz),Heroes,1797.24,,,,,,,,1096.0,535.0
Constance,Fodlan,1795.6,,,,,3522.0,1476.0,1063.0,640.0,649.0
Nil/Rafal,Elyos,1794.78,,,,,,,,800.0,694.0
Severa,Ylisse,1792.96,6060.0,3275.0,4568.0,2682.0,2612.0,1821.0,1203.0,588.0,510.0
Maiko,TMS #FE,1792.84,,,,2078.0,1507.0,1926.0,1007.0,918.0,853.0
Finn,Jugdral,1790.4,3606.0,3969.0,2440.0,1625.0,1273.0,1362.0,1066.0,1245.0,1045.0
Mercedes,Fodlan,1789.21,,,,2890.0,1796.0,1724.0,1411.0,915.0,815.0
Laegjarn,Heroes,1788.92,,,7015.0,2753.0,1283.0,1318.0,836.0,607.0,475.0
Caspar,Fodlan,1786.51,,,,2987.0,2535.0,1214.0,876.0,668.0,525.0
Líf (Lif),Heroes,1785.91,,,11876.0,5771.0,1613.0,1222.0,812.0,619.0,577.0
Dedue,Fodlan,1784.79,,,,3495.0,7195.0,1183.0,805.0,651.0,508.0
Fogado,Elyos,1777.97,,,,,,,,1086.0,431.0
Chloé (Chloe),Elyos,1777.32,,,,,,,,1036.0,514.0
Morgan (F),Ylisse,1776.98,6163.0,8394.0,3649.0,1767.0,1010.0,922.0,662.0,839.0,1043.0
Leonie,Fodlan,1770.78,,,,2503.0,1899.0,1289.0,778.0,591.0,541.0
Zelgius,Tellius,1769.06,1488.0,2054.0,4884.0,2441.0,1638.0,1507.0,1035.0,747.0,572.0
Amber,Elyos,1768.65,,,,,,,,777.0,538.0
Felicia,Fates,1767.59,9121.0,4677.0,5216.0,1918.0,1111.0,1448.0,828.0,784.0,558.0
Ranulf,Tellius,1767.24,3128.0,6312.0,8464.0,1127.0,917.0,999.0,586.0,709.0,568.0
Owain,Ylisse,1766.26,8383.0,7835.0,3117.0,1267.0,848.0,1290.0,682.0,562.0,676.0
Ryoma,Fates,1764.65,7248.0,8238.0,5367.0,1779.0,1148.0,1075.0,681.0,537.0,494.0
Sakura,Fates,1763.65,7782.0,3146.0,3120.0,1467.0,985.0,1154.0,674.0,678.0,695.0
Lon'qu,Ylisse,1763.37,10002.0,2461.0,2889.0,1321.0,901.0,1026.0,691.0,742.0,720.0
Kagetsu,Elyos,1763.02,,,,,,,,971.0,333.0
Lorenz (FE16),Fodlan,1762.9,,,,2668.0,1467.0,1115.0,776.0,597.0,602.0
Reinhardt,Jugdral,1762.49,137.0,15931.0,10793.0,4963.0,2339.0,2377.0,2227.0,1242.0,1348.0
Anna (FE17),Elyos,1762.36,,,,,,,,888.0,481.0
Grima,Ylisse,1760.72,2333.0,2739.0,3900.0,1517.0,1125.0,919.0,737.0,1021.0,1473.0
Berkut,Valentia,1759.4,,4012.0,2907.0,2031.0,1526.0,1632.0,1437.0,1342.0,1109.0
Soleil,Fates,1757.96,4333.0,2773.0,2772.0,4639.0,1061.0,1226.0,709.0,574.0,501.0
