CHARACTER,WORLD,SCORE,CYL 1 VOTES,CYL 2 VOTES,CYL 3 VOTES,CYL 4 VOTES,CYL 5 VOTES,CYL 6 VOTES,CYL 7 VOTES,CYL 8 VOTES,CYL 9 VOTES,SIGMA
Gatekeeper,Fodlan,2646.56,,,,,72267.0,,,,,74.67
Edelgard,Fodlan,2617.64,,,,74617.0,,,,,,36.35
Ike,Tellius,2613.74,51555.0,,,,,,,,,45.71
Dimitri,Fodlan,2588.01,,,,69448.0,,,,,,37.14
Claude,Fodlan,2515.84,,,,59751.0,,,,,,45.93
Eikþyrnir (Eikthyrnir),Heroes,2497.87,,,,,,,,,15138.0,57.08
Lyn,Elibe,2457.06,49917.0,,,,,,,,,25.5
Lucina,Ylisse,2425.86,48295.0,,,,,,,,,34.38
Hector,Elibe,2400.97,27372.0,40946.0,,,,,,,,27.6
Camilla,Fates,2314.93,25766.0,28166.0,46741.0,,,,,,,4.35
Lysithea,Fodlan,2253.62,,,,42462.0,,,,,,4.75
Byleth (F),Fodlan,2250.9,,,,35255.0,25964.0,20855.0,,,,2.77
Marianne,Fodlan,2248.95,,,,14105.0,33555.0,,,,,3.21
Chrom,Ylisse,2233.76,23803.0,13638.0,19656.0,15595.0,35810.0,42134.0,,,,1.84
Eirika,Magvel,2229.47,16423.0,27503.0,22771.0,26040.0,31875.0,,,,,2.0
Marth,Archanea,2227.92,24547.0,37192.0,33182.0,44107.0,46699.0,,,,,2.08
Veronica,Heroes,2209.59,,29206.0,,,,,,,,5.3
Felix,Fodlan,2189.1,,,,12465.0,10786.0,19117.0,16365.0,11612.0,,2.37
Gullveig,Heroes,2169.46,,,,,,,16941.0,,,3.83
Baldr,Heroes,2158.03,,,,,,,,,11158.0,11.99
Ephraim,Magvel,2156.0,14908.0,31027.0,,,,,,,,3.28
Micaiah,Tellius,2153.79,13491.0,15493.0,54343.0,,,,,,,2.12
Roy,Elibe,2152.17,28982.0,,,,,,,,,4.51
Byleth (M),Fodlan,2131.52,,,,10410.0,12528.0,10102.0,12683.0,10663.0,14345.0,2.03
Bernadetta,Fodlan,2118.08,,,,37400.0,12281.0,19335.0,14252.0,19600.0,,2.34
Robin (M),Ylisse,2080.86,14149.0,10912.0,16316.0,9898.0,8176.0,11584.0,18401.0,,,1.64
Fomortiis,Magvel,2079.75,,,,,,,,,9066.0,8.88
Corrin (F),Fates,2043.83,19599.0,13833.0,17679.0,9079.0,8600.0,14673.0,14369.0,,,1.38
Azura,Fates,2029.18,14198.0,20430.0,14798.0,6264.0,4870.0,10260.0,7383.0,8466.0,9260.0,1.27
Ivy,Elyos,1940.06,,,,,,,,9082.0,8748.0,2.95
Alear (F),Elyos,1911.04,,,,,,,,8316.0,6480.0,2.95
Yunaka,Elyos,1858.03,,,,,,,,10035.0,7048.0,3.46
Soren,Tellius,1845.61,9718.0,6298.0,9919.0,6873.0,5829.0,17416.0,18051.0,,,1.94
Diamant,Elyos,1835.23,,,,,,,,6356.0,4117.0,3.15
Robin (F),Ylisse,1814.84,10387.0,5481.0,34626.0,7352.0,5466.0,8737.0,9075.0,12319.0,,1.99
Hilda (FE16),Fodlan,1756.27,,,,11702.0,6981.0,13205.0,7026.0,4061.0,4560.0,2.41
Tharja,Ylisse,1691.9,29540.0,12459.0,11384.0,7674.0,4764.0,4845.0,5078.0,5335.0,4172.0,2.37
Yuri,Fodlan,1688.65,,,,,9852.0,7869.0,5320.0,3648.0,3184.0,2.72
Sylvain,Fodlan,1668.7,,,,9132.0,4970.0,4764.0,4608.0,3100.0,5611.0,2.5
Höðr (Hodr),Heroes,1626.47,,,,,,,,,2605.0,2.3
Alear (M),Elyos,1620.17,,,,,,,,4421.0,2569.0,2.04
Veyle,Elyos,1613.68,,,,,,,,4233.0,2567.0,2.13
Alcryst,Elyos,1601.9,,,,,,,,4728.0,2228.0,1.95
Alfonse,Heroes,1597.74,,5542.0,7363.0,4859.0,3985.0,4392.0,6832.0,13286.0,,1.88
Tsubasa/Caeda,TMS #FE,1580.32,,,,4410.0,2319.0,2566.0,4709.0,4092.0,7155.0,2.0
Ashe,Fodlan,1573.93,,,,9288.0,6632.0,4181.0,3575.0,2003.0,2154.0,2.05
Dorothea,Fodlan,1573.82,,,,15212.0,4694.0,7706.0,4529.0,2929.0,3213.0,2.01
Shez (M),Fodlan,1571.89,,,,,,,3956.0,3839.0,2237.0,2.13
Freyja,Heroes,1570.08,,,,,2332.0,4180.0,4389.0,5075.0,3458.0,2.29
Black Knight,Tellius,1559.29,10195.0,3895.0,7461.0,5247.0,3026.0,3530.0,5340.0,5084.0,5221.0,1.74
Lapis,Elyos,1555.88,,,,,,,,3423.0,1913.0,2.03
Shez (F),Fodlan,1552.38,,,,,,,3990.0,2964.0,2038.0,2.21
Mia,Tellius,1548.94,13354.0,9334.0,8395.0,5031.0,3114.0,3117.0,3038.0,2637.0,2291.0,2.1
Itsuki/Chrom,TMS #FE,1547.43,,,,4096.0,4032.0,3208.0,4028.0,3696.0,3426.0,2.08
Rosado,Elyos,1540.68,,,,,,,,3235.0,828.0,1.87
Sigurd,Jugdral,1532.71,5282.0,4736.0,8975.0,6198.0,3595.0,5121.0,7142.0,8058.0,10597.0,1.91
Alfred,Elyos,1524.02,,,,,,,,2171.0,1017.0,1.82
Ingrid,Fodlan,1521.42,,,,5543.0,3164.0,3012.0,2402.0,1251.0,1230.0,1.9
Eliwood,Elibe,1520.88,8709.0,7749.0,45410.0,,,,,,,1.8
Tiki (FE13),Ylisse,1520.46,9794.0,5001.0,7793.0,3137.0,3551.0,39705.0,,,,1.88
Takumi,Fates,1520.16,12662.0,10407.0,9118.0,4013.0,3148.0,3133.0,2743.0,2491.0,2404.0,1.78
Céline (Celine),Elyos,1518.72,,,,,,,,1722.0,1046.0,1.83
Nino,Elibe,1518.03,7825.0,15532.0,10682.0,5144.0,3351.0,3288.0,2881.0,1769.0,1885.0,2.11
Goldmary,Elyos,1515.7,,,,,,,,2813.0,950.0,1.78
Seliph,Jugdral,1515.44,2695.0,2137.0,7105.0,15593.0,6433.0,26301.0,,,,1.42
